Typical Measured Spectrum of Semrock BLP01-633R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
709.1415	0.993860113407567
709.3075	0.993592129770382
709.4725	0.993474489623656
709.6385	0.993056989944775
709.8045	0.992852376534427
709.97	0.992705828125895
710.1355	0.992472935643249
710.3015	0.992241049123762
710.4675	0.992148245062325
710.6325	0.991480918361033
710.7985	0.991857502537914
710.9645	0.991582527087057
711.13	0.991759668980325
711.2955	0.991630938720192
711.4615	0.991630523661107
711.6275	0.991324593280511
711.7925	0.991010635047133
711.9585	0.991565084944371
712.1245	0.991524660678603
712.2895	0.991557545439572
712.4555	0.991611064026476
712.6215	0.991375576426934
712.7865	0.991267494143507
712.9525	0.991855146571881
713.118	0.99195132256464
713.2835	0.991585200399218
713.4495	0.991281759079563
713.615	0.991377770551033
713.7805	0.991616838061841
713.9465	0.992263214154789
714.1115	0.99203312903432
714.2775	0.992340066938754
714.443	0.992436145848557
714.6085	0.993065083076207
714.7745	0.993395754667228
714.9395	0.993368547129129
715.1055	0.993444807382445
715.271	0.993890662014093
715.4365	0.99396562612143
715.6025	0.994091457543051
715.7675	0.994298005868883
715.9335	0.995008132149786
716.099	0.994608252451198
716.2645	0.995324589800545
716.43	0.995271248689678
716.5955	0.995259976089682
716.7615	0.995848704744276
716.9265	0.996003483946267
717.0925	0.996211022578778
717.2575	0.996386936528883
717.4235	0.996235711388336
717.589	0.996494125365082
717.7545	0.996100849894922
717.92	0.995955217903161
718.0855	0.996518430562278
718.251	0.996028040294018
718.4165	0.99588148582525
718.582	0.996066293406115
718.7475	0.996073753649319
718.913	0.996075203670507
719.0785	0.996152882418352
719.244	0.995758897486432
719.4095	0.996320110241196
719.575	0.996003115491398
719.7405	0.996266468135558
719.906	0.995740159533441
720.0715	0.995798832383699
720.2365	0.995716386448813
720.4025	0.995347315718138
720.5675	0.995297909988596
720.7335	0.994893951774036
720.8985	0.99456660748737
721.064	0.994962615056775
721.2295	0.994764081184558
721.395	0.994711435143953
721.5605	0.994666918838404
721.726	0.994044548410379
721.8915	0.994052092528439
722.0565	0.994038943485996
722.222	0.993167073957881
722.3875	0.99329648905774
722.553	0.992919621398657
722.7185	0.992655663886151
722.8835	0.992864132388027
723.049	0.992303672665948
723.2145	0.992468611958553
723.38	0.992334711193649
723.5455	0.992263537364594
723.7105	0.99240222244584
723.876	0.99203967334836
724.0415	0.991945981501662
724.2065	0.991925434646641
724.372	0.991506219867741
724.5375	0.991554285965605
724.703	0.991854043285182
724.8685	0.991728913406048
725.0335	0.991699766094202
725.199	0.991695898107666
725.3645	0.991585023659704
725.5295	0.991558076823555
725.695	0.991910098955993
725.8605	0.992138720488091
726.0255	0.992179913394798
726.191	0.992256602031759
726.356	0.992329461573389
726.5215	0.992454098661812
726.6865	0.992419132930316
726.852	0.992243356154693
727.0175	0.99283023080975
727.1825	0.993201167242104
727.348	0.993325520873134
727.5135	0.993443342146351
727.6785	0.993668746755907
727.8435	0.994204504662778
728.009	0.994373290565937
728.1745	0.993924822152691
728.3395	0.994057508343706
728.505	0.994852134970604
728.67	0.994560898666126
728.8355	0.99442121203014
729.0005	0.994763170712017
729.166	0.994642129022773
729.331	0.995238199276209
729.4965	0.995105272846608
729.6615	0.995239156786709
729.8265	0.995316777645821
729.992	0.995804842821966
730.157	0.995677540605006
730.3225	0.995465544777323
730.4875	0.995666190968485
730.6525	0.995469780206882
730.818	0.995808998173061
730.983	0.995757367331173
731.1485	0.995795323608365
731.3135	0.995357307481499
731.4785	0.995111829922277
731.644	0.995458852442784
731.809	0.995691792642798
731.9745	0.996110316062232
732.1395	0.99534241530446
732.3045	0.9953381918615
732.4695	0.995048789563832
732.635	0.994864326821063
732.8	0.995198464818548
732.965	0.99483489857268
733.1305	0.994429324972803
733.2955	0.995013505915452
733.4605	0.994177168702403
733.6255	0.994322222499126
733.791	0.99465955613234
733.956	0.994238088202391
734.121	0.993758834103239
734.286	0.993703116867206
734.4515	0.993364092359102
734.6165	0.993073069413883
734.7815	0.992860700080195
734.9465	0.993144888714232
735.1115	0.992622237552244
735.277	0.99285449301019
735.442	0.992923773716042
735.607	0.992285419914837
735.772	0.991677901525277
735.937	0.991724638404637
736.102	0.991603332441308
736.267	0.991939757255084
736.4325	0.99126140011546
736.5975	0.990915538965197
736.7625	0.990643251180396
736.9275	0.990306812708222
737.0925	0.990430271421392
737.2575	0.990694257458666
737.4225	0.990810500902087
737.5875	0.990471052147941
737.7525	0.990518440340743
737.9175	0.990039792587637
738.041	0.989858304112929
738.2065	0.990223532750061
738.3725	0.989935151482954
738.5385	0.99032411618198
738.7045	0.989661815280254
738.8705	0.989952990014536
739.0365	0.989436962798126
739.2025	0.989829230693936
739.3685	0.989644289278544
739.5335	0.989441504518783
739.6995	0.989489410106649
739.8655	0.989839399910659
740.0315	0.989986007257009
740.1975	0.989963877883962
740.3635	0.990004816486848
740.5295	0.989851447966612
740.6955	0.989666003628563
740.8615	0.989692458151755
741.0265	0.989668841725092
741.1925	0.990005119856804
741.3585	0.989630115543829
741.5245	0.989833333556968
741.6905	0.989583922605294
741.8565	0.989781161095371
742.022	0.989854988966625
742.1875	0.989729130172742
742.3535	0.989598375327717
742.5195	0.989382134453242
742.6855	0.989930832246434
742.8515	0.990080700479292
743.017	0.989812308633265
743.1825	0.990275428909842
743.3485	0.990268785859679
743.5145	0.990242667506106
743.6805	0.990515029541947
743.846	0.990302419965534
744.0115	0.990451696377206
744.1775	0.990402774376732
744.3435	0.990652270013055
744.5095	0.990992604223346
744.6745	0.990584200757614
744.8405	0.990417709948559
745.0065	0.990555039495122
745.1725	0.990305491645403
745.338	0.990613361132507
745.5035	0.990672563201821
745.6695	0.990371707876799
745.8355	0.99034267783899
746.001	0.990306553069676
746.1665	0.990610903302743
746.3325	0.990453607513405
746.4985	0.990407783675652
746.6635	0.990606011807523
746.8295	0.989581751939806
746.9955	0.990294623256457
747.1615	0.990178245915372
747.3265	0.990461593688976
747.4925	0.989659305407502
747.6585	0.989797681704373
747.8235	0.990210687100484
747.9895	0.990391798216008
748.1555	0.989823217189659
