Typical Measured Spectrum of Semrock NF03-594E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
583.6	0.09252
583.8	0.0588
584.0	0.03648
584.2	0.02225
584.4	0.01387
584.6	0.00819
584.8	0.00501
585.0	0.00315
585.2	0.002
585.4	0.00129
585.6	8.586e-04
585.8	5.6101e-04
586.0	4.1375e-04
586.2	2.8721e-04
586.4	2.0135e-04
586.6	1.453e-04
586.8	1.0739e-04
587.0	7.5239e-05
587.2	5.3378e-05
587.4	4.3126e-05
587.6	3.4839e-05
587.8	2.7467e-05
588.0	2.1654e-05
588.2	1.6558e-05
588.4	1.228e-05
588.6	1.0642e-05
588.8	9.2297e-06
589.0	7.8497e-06
589.2	6.5388e-06
589.4	5.4469e-06
589.6	4.2722e-06
589.8	3.6003e-06
590.0	3.289e-06
590.2	3.0046e-06
590.4	2.7417e-06
590.6	2.5016e-06
590.8	2.137e-06
591.0	1.6895e-06
591.2	1.6334e-06
591.4	1.5791e-06
591.6	1.4862e-06
591.8	1.3611e-06
592.0	1.2465e-06
592.2	1.1672e-06
592.4	1.1274e-06
592.6	1.1251e-06
592.8	1.1228e-06
593.0	1.0932e-06
593.2	1.0637e-06
593.4	9.964e-07
593.6	8.9636e-07
593.8	9.4625e-07
594.0	9.9893e-07
594.2	1.0004e-06
594.4	9.5243e-07
594.6	9.0675e-07
594.8	8.9879e-07
595.0	9.2045e-07
595.2	9.7453e-07
595.4	1.0318e-06
595.6	1.0838e-06
595.8	1.1384e-06
596.0	1.1513e-06
596.2	1.1185e-06
596.4	1.2285e-06
596.6	1.3526e-06
596.8	1.4704e-06
597.0	1.5755e-06
597.2	1.6881e-06
597.4	1.6781e-06
597.6	1.7983e-06
597.8	2.08e-06
598.0	2.4059e-06
598.2	2.7634e-06
598.4	3.174e-06
598.6	3.3829e-06
598.8	3.3355e-06
599.0	4.1862e-06
599.2	5.2666e-06
