Typical Measured Spectrum of Semrock FF01-575/59 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)

479.0	1.9247e-07
479.2	1.9075e-07
479.4	1.8904e-07
479.6	1.8736e-07
479.8	1.8568e-07
480.0	1.8402e-07
480.2	1.8238e-07
480.4	1.8041e-07
480.6	1.7814e-07
480.8	1.7591e-07
481.0	1.737e-07
481.2	1.7153e-07
481.4	1.6937e-07
481.6	1.6725e-07
481.8	1.6515e-07
482.0	1.6308e-07
482.2	1.6104e-07
482.4	1.5902e-07
482.6	1.5702e-07
482.8	1.5505e-07
483.0	1.5311e-07
483.2	1.5119e-07
483.4	1.4929e-07
483.6	1.4742e-07
483.8	1.4557e-07
484.0	1.4375e-07
484.2	1.4194e-07
484.4	1.4016e-07
484.6	1.3841e-07
484.8	1.3667e-07
485.0	1.3496e-07
485.2	1.3326e-07
485.4	1.3297e-07
485.6	1.3397e-07
485.8	1.3497e-07
486.0	1.3598e-07
486.2	1.37e-07
486.4	1.3802e-07
486.6	1.3905e-07
486.8	1.4009e-07
487.0	1.4114e-07
487.2	1.422e-07
487.4	1.4326e-07
487.6	1.4433e-07
487.8	1.4541e-07
488.0	1.465e-07
488.2	1.4759e-07
488.4	1.487e-07
488.6	1.4981e-07
488.8	1.5093e-07
489.0	1.5206e-07
489.2	1.532e-07
489.4	1.5434e-07
489.6	1.555e-07
489.8	1.5666e-07
490.0	1.5783e-07
490.2	1.5901e-07
490.4	1.5889e-07
490.6	1.5759e-07
490.8	1.5631e-07
491.0	1.5503e-07
491.2	1.5377e-07
491.4	1.5251e-07
491.6	1.5127e-07
491.8	1.5004e-07
492.0	1.4881e-07
492.2	1.476e-07
492.4	1.4639e-07
492.6	1.452e-07
492.8	1.4401e-07
493.0	1.4284e-07
493.2	1.4167e-07
493.4	1.4052e-07
493.6	1.3937e-07
493.8	1.3823e-07
494.0	1.3711e-07
494.2	1.3599e-07
494.4	1.3488e-07
494.6	1.3378e-07
494.8	1.3269e-07
495.0	1.316e-07
495.2	1.3053e-07
495.4	1.3065e-07
495.6	1.3181e-07
495.8	1.3297e-07
496.0	1.3415e-07
496.2	1.3534e-07
496.4	1.3654e-07
496.6	1.3775e-07
496.8	1.3897e-07
497.0	1.402e-07
497.2	1.4144e-07
497.4	1.4269e-07
497.6	1.4396e-07
497.8	1.4523e-07
498.0	1.4652e-07
498.2	1.4782e-07
498.4	1.4913e-07
498.6	1.5045e-07
498.8	1.5178e-07
499.0	1.5313e-07
499.2	1.5448e-07
499.4	1.5585e-07
499.6	1.5723e-07
499.8	1.5863e-07
500.0	1.6003e-07
500.2	1.6145e-07
500.4	1.6104e-07
500.6	1.5914e-07
500.8	1.5726e-07
501.0	1.5541e-07
501.2	1.5358e-07
501.4	1.5177e-07
501.6	1.4998e-07
501.8	1.4821e-07
502.0	1.4647e-07
502.2	1.4474e-07
502.4	1.4304e-07
502.6	1.4135e-07
502.8	1.3968e-07
503.0	1.3804e-07
503.2	1.3641e-07
503.4	1.348e-07
503.6	1.3321e-07
503.8	1.3164e-07
504.0	1.3009e-07
504.2	1.2856e-07
504.4	1.2704e-07
504.6	1.2555e-07
504.8	1.2407e-07
505.0	1.2261e-07
505.2	1.2116e-07
505.4	1.2176e-07
505.6	1.2287e-07
505.8	1.24e-07
506.0	1.2513e-07
506.2	1.2627e-07
506.4	1.2743e-07
506.6	1.2859e-07
506.8	1.2977e-07
507.0	1.3096e-07
507.2	1.3216e-07
507.4	1.3336e-07
507.6	1.3458e-07
507.8	1.3582e-07
508.0	1.3706e-07
508.2	1.3831e-07
508.4	1.3958e-07
508.6	1.4085e-07
508.8	1.4214e-07
509.0	1.4344e-07
509.2	1.4475e-07
509.4	1.4608e-07
509.6	1.4741e-07
509.8	1.4876e-07
510.0	1.5012e-07
510.2	1.5131e-07
510.4	1.4904e-07
510.6	1.4681e-07
510.8	1.4461e-07
511.0	1.4244e-07
511.2	1.4031e-07
511.4	1.382e-07
511.6	1.3613e-07
511.8	1.3409e-07
512.0	1.3208e-07
512.2	1.301e-07
512.4	1.2815e-07
512.6	1.2623e-07
512.8	1.2434e-07
513.0	1.2248e-07
513.2	1.2064e-07
513.4	1.1883e-07
