Typical Measured Spectrum of Semrock FF614-SDi01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
441.6	0.97306
441.8	0.97318
442.0	0.97256
442.2	0.97127
442.4	0.97151
442.6	0.97342
442.8	0.97202
443.0	0.97189
443.2	0.97235
443.4	0.97231
443.6	0.97249
443.8	0.97437
444.0	0.97515
444.2	0.97562
444.4	0.97436
444.6	0.9739
444.8	0.97476
445.0	0.97539
445.2	0.97741
445.4	0.97881
445.6	0.9786
445.8	0.97861
446.0	0.98007
446.2	0.97936
446.4	0.98056
446.6	0.98085
446.8	0.98139
447.0	0.98151
447.2	0.9814
447.4	0.98253
447.6	0.98099
447.8	0.98061
448.0	0.97949
448.2	0.97944
448.4	0.97862
448.6	0.97855
448.8	0.97916
449.0	0.98029
449.2	0.98151
449.4	0.97958
449.6	0.97779
449.8	0.97623
450.0	0.97527
450.2	0.97377
450.4	0.97357
450.6	0.97363
450.8	0.9705
451.0	0.96783
451.2	0.96845
451.4	0.96756
451.6	0.96853
451.8	0.96724
452.0	0.96451
452.2	0.96382
452.4	0.96353
452.6	0.96316
452.8	0.965
453.0	0.96356
453.2	0.96421
453.4	0.96434
453.6	0.96575
453.8	0.96568
454.0	0.96403
454.2	0.96253
454.4	0.96447
454.6	0.9643
454.8	0.9643
455.0	0.96479
455.2	0.96552
455.4	0.9648
455.6	0.96626
455.8	0.96631
456.0	0.96508
456.2	0.96566
456.4	0.967
456.6	0.96789
456.8	0.96878
457.0	0.96891
457.2	0.96947
457.4	0.97078
457.6	0.97107
457.8	0.9691
458.0	0.96824
458.2	0.96871
458.4	0.96871
458.6	0.96698
458.8	0.96365
459.0	0.96441
459.2	0.96455
459.4	0.96216
459.6	0.96144
459.8	0.96102
460.0	0.95956
460.2	0.95875
460.4	0.95702
460.6	0.95474
460.8	0.95306
461.0	0.9521
461.2	0.95221
461.4	0.95041
461.6	0.94987
461.8	0.94777
462.0	0.94854
462.2	0.94815
462.4	0.94531
462.6	0.94612
462.8	0.945
463.0	0.94532
463.2	0.94493
463.4	0.94189
463.6	0.94271
463.8	0.94229
464.0	0.94117
464.2	0.94153
464.4	0.94195
464.6	0.94241
464.8	0.94131
465.0	0.94135
465.2	0.94131
465.4	0.94233
465.6	0.94081
465.8	0.94171
466.0	0.94248
466.2	0.94422
466.4	0.94548
466.6	0.94551
466.8	0.94604
467.0	0.94735
467.2	0.94578
467.4	0.94565
467.6	0.94744
467.8	0.9479
468.0	0.94831
468.2	0.94867
468.4	0.95088
468.6	0.94962
468.8	0.94871
469.0	0.95003
469.2	0.949
469.4	0.94858
469.6	0.94986
469.8	0.94979
470.0	0.95015
470.2	0.9502
470.4	0.95183
470.6	0.95047
470.8	0.95086
471.0	0.94937
471.2	0.94886
471.4	0.94776
471.6	0.94624
471.8	0.94723
472.0	0.94748
472.2	0.94663
472.4	0.94661
472.6	0.94721
472.8	0.94532
473.0	0.94451
473.2	0.94533
473.4	0.94732
473.6	0.94642
473.8	0.94761
474.0	0.94757
474.2	0.94836
474.4	0.95046
474.6	0.95077
474.8	0.95089
475.0	0.95101
475.2	0.95093
475.4	0.95225
475.6	0.95234
475.8	0.9544
476.0	0.95419
476.2	0.95307
476.4	0.95412
476.6	0.95495
476.8	0.9564
477.0	0.9585
477.2	0.95875
477.4	0.95983
477.6	0.9601
477.8	0.96105
478.0	0.96305
478.2	0.96346
478.4	0.96358
478.6	0.96451
478.8	0.96674
479.0	0.96842
479.2	0.96659
479.4	0.96748
479.6	0.96772
479.8	0.97
480.0	0.97047
480.2	0.97127
480.4	0.97298
480.6	0.97361
480.8	0.97327
481.0	0.9744
481.2	0.97389
481.4	0.97282
481.6	0.97466
481.8	0.9744
482.0	0.97314
482.2	0.97267
482.4	0.97199
482.6	0.97303
482.8	0.97359
483.0	0.97333
483.2	0.97274
483.4	0.97479
483.6	0.97456
483.8	0.97483
484.0	0.97445
484.2	0.97279
484.4	0.9712
484.6	0.97031
484.8	0.96997
485.0	0.96986
485.2	0.97083
485.4	0.97109
485.6	0.9695
485.8	0.96941
486.0	0.96996
