Typical Measured Spectrum of Semrock FF01-612/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
705.0	6.0037e-06
705.2	6.0292e-06
705.4	6.0547e-06
705.6	6.0804e-06
705.8	6.1062e-06
706.0	6.1321e-06
706.2	6.1581e-06
706.4	6.1842e-06
706.6	6.2104e-06
706.8	6.2367e-06
707.0	6.2634e-06
707.2	6.2903e-06
707.4	6.3174e-06
707.6	6.3445e-06
707.8	6.3718e-06
708.0	6.3991e-06
708.2	6.4266e-06
708.4	6.4542e-06
708.6	6.482e-06
708.8	6.5098e-06
709.0	6.5378e-06
709.2	6.5659e-06
709.4	6.5941e-06
709.6	6.6224e-06
709.8	6.6509e-06
710.0	6.6794e-06
710.2	6.7081e-06
710.4	6.737e-06
710.6	6.7715e-06
710.8	6.8118e-06
711.0	6.8524e-06
711.2	6.8932e-06
711.4	6.9342e-06
711.6	6.9755e-06
711.8	7.0171e-06
712.0	7.0588e-06
712.2	7.1009e-06
712.4	7.1432e-06
712.6	7.1857e-06
712.8	7.2285e-06
713.0	7.2715e-06
713.2	7.3148e-06
713.4	7.3584e-06
713.6	7.4022e-06
713.8	7.4463e-06
714.0	7.4906e-06
714.2	7.5348e-06
714.4	7.5783e-06
714.6	7.622e-06
714.8	7.6659e-06
715.0	7.7102e-06
715.2	7.7546e-06
715.4	7.7993e-06
715.6	7.8443e-06
715.8	7.8896e-06
716.0	7.9351e-06
716.2	7.9808e-06
716.4	8.0269e-06
716.6	8.0732e-06
716.8	8.1197e-06
717.0	8.1666e-06
717.2	8.2137e-06
717.4	8.261e-06
717.6	8.3087e-06
717.8	8.3578e-06
718.0	8.4205e-06
718.2	8.4836e-06
718.4	8.5473e-06
718.6	8.6113e-06
718.8	8.6759e-06
719.0	8.741e-06
719.2	8.8065e-06
719.4	8.8726e-06
719.6	8.9391e-06
719.8	9.0061e-06
720.0	9.0737e-06
720.2	9.1417e-06
720.4	9.2103e-06
720.6	9.2793e-06
720.8	9.3489e-06
721.0	9.419e-06
721.2	9.4897e-06
721.4	9.5608e-06
721.6	9.6498e-06
721.8	9.7418e-06
722.0	9.8347e-06
